grafana  | logger=migrator t=2026-03-15T12:18:53.769573048Z level=info msg="Executing migration" id="create index IDX_temp_user_email - v2"
grafana  | logger=migrator t=2026-03-15T12:18:53.769975527Z level=info msg="Migration successfully executed" id="create index IDX_temp_user_email - v2" duration=402.489µs
grafana  | logger=migrator t=2026-03-15T12:18:53.775252633Z level=info msg="Executing migration" id="create index IDX_temp_user_org_id - v2"
grafana  | logger=migrator t=2026-03-15T12:18:53.775577317Z level=info msg="Migration successfully executed" id="create index IDX_temp_user_org_id - v2" duration=324.468µs
grafana  | logger=migrator t=2026-03-15T12:18:53.780844703Z level=info msg="Executing migration" id="create index IDX_temp_user_code - v2"
grafana  | logger=migrator t=2026-03-15T12:18:53.781169039Z level=info msg="Migration successfully executed" id="create index IDX_temp_user_code - v2" duration=324.173µs
grafana  | logger=migrator t=2026-03-15T12:18:53.786099888Z level=info msg="Executing migration" id="create index IDX_temp_user_status - v2"
grafana  | logger=migrator t=2026-03-15T12:18:53.786430377Z level=info msg="Migration successfully executed" id="create index IDX_temp_user_status - v2" duration=330.174µs
grafana  | logger=migrator t=2026-03-15T12:18:53.79217822Z level=info msg="Executing migration" id="copy temp_user v1 to v2"
grafana  | logger=migrator t=2026-03-15T12:18:53.792421195Z level=info msg="Migration successfully executed" id="copy temp_user v1 to v2" duration=243.083µs
grafana  | logger=migrator t=2026-03-15T12:18:53.797402471Z level=info msg="Executing migration" id="drop temp_user_tmp_qwerty"
grafana  | logger=migrator t=2026-03-15T12:18:53.797680896Z level=info msg="Migration successfully executed" id="drop temp_user_tmp_qwerty" duration=278.046µs
grafana  | logger=migrator t=2026-03-15T12:18:53.802988618Z level=info msg="Executing migration" id="Set created for temp users that will otherwise prematurely expire"
grafana  | logger=migrator t=2026-03-15T12:18:53.803233123Z level=info msg="Migration successfully executed" id="Set created for temp users that will otherwise prematurely expire" duration=245.277µs
grafana  | logger=migrator t=2026-03-15T12:18:53.808425957Z level=info msg="Executing migration" id="create star table"
grafana  | logger=migrator t=2026-03-15T12:18:53.80873085Z level=info msg="Migration successfully executed" id="create star table" duration=304.93µs
grafana  | logger=migrator t=2026-03-15T12:18:53.81382021Z level=info msg="Executing migration" id="add unique index star.user_id_dashboard_id"
grafana  | logger=migrator t=2026-03-15T12:18:53.814235665Z level=info msg="Migration successfully executed" id="add unique index star.user_id_dashboard_id" duration=370.928µs
grafana  | logger=migrator t=2026-03-15T12:18:53.819214679Z level=info msg="Executing migration" id="Add column dashboard_uid in star"
grafana  | logger=migrator t=2026-03-15T12:18:53.819850924Z level=info msg="Migration successfully executed" id="Add column dashboard_uid in star" duration=635.907µs
grafana  | logger=migrator t=2026-03-15T12:18:53.824969124Z level=info msg="Executing migration" id="Add column org_id in star"
grafana  | logger=migrator t=2026-03-15T12:18:53.825660355Z level=info msg="Migration successfully executed" id="Add column org_id in star" duration=690.578µs
grafana  | logger=migrator t=2026-03-15T12:18:53.830727621Z level=info msg="Executing migration" id="Add column updated in star"
grafana  | logger=migrator t=2026-03-15T12:18:53.831409487Z level=info msg="Migration successfully executed" id="Add column updated in star" duration=681.645µs
grafana  | logger=migrator t=2026-03-15T12:18:53.836518996Z level=info msg="Executing migration" id="add index in star table on dashboard_uid, org_id and user_id columns"
grafana  | logger=migrator t=2026-03-15T12:18:53.83698659Z level=info msg="Migration successfully executed" id="add index in star table on dashboard_uid, org_id and user_id columns" duration=467.697µs
grafana  | logger=migrator t=2026-03-15T12:18:53.842422743Z level=info msg="Executing migration" id="create org table v1"
grafana  | logger=migrator t=2026-03-15T12:18:53.842832797Z level=info msg="Migration successfully executed" id="create org table v1" duration=409.286µs
grafana  | logger=migrator t=2026-03-15T12:18:53.851369794Z level=info msg="Executing migration" id="create index UQE_org_name - v1"
grafana  | logger=migrator t=2026-03-15T12:18:53.851712189Z level=info msg="Migration successfully executed" id="create index UQE_org_name - v1" duration=342.427µs
grafana  | logger=migrator t=2026-03-15T12:18:53.857467821Z level=info msg="Executing migration" id="create org_user table v1"
grafana  | logger=migrator t=2026-03-15T12:18:53.857766228Z level=info msg="Migration successfully executed" id="create org_user table v1" duration=298.193µs
grafana  | logger=migrator t=2026-03-15T12:18:53.862970792Z level=info msg="Executing migration" id="create index IDX_org_user_org_id - v1"
grafana  | logger=migrator t=2026-03-15T12:18:53.863323762Z level=info msg="Migration successfully executed" id="create index IDX_org_user_org_id - v1" duration=352.886µs
grafana  | logger=migrator t=2026-03-15T12:18:53.868292674Z level=info msg="Executing migration" id="create index UQE_org_user_org_id_user_id - v1"
grafana  | logger=migrator t=2026-03-15T12:18:53.868628354Z level=info msg="Migration successfully executed" id="create index UQE_org_user_org_id_user_id - v1" duration=335.477µs
grafana  | logger=migrator t=2026-03-15T12:18:53.873685558Z level=info msg="Executing migration" id="create index IDX_org_user_user_id - v1"
grafana  | logger=migrator t=2026-03-15T12:18:53.874074907Z level=info msg="Migration successfully executed" id="create index IDX_org_user_user_id - v1" duration=389.459µs
grafana  | logger=migrator t=2026-03-15T12:18:53.879239503Z level=info msg="Executing migration" id="Update org table charset"
grafana  | logger=migrator t=2026-03-15T12:18:53.879265793Z level=info msg="Migration successfully executed" id="Update org table charset" duration=27.059µs
grafana  | logger=migrator t=2026-03-15T12:18:53.884363694Z level=info msg="Executing migration" id="Update org_user table charset"
grafana  | logger=migrator t=2026-03-15T12:18:53.88438599Z level=info msg="Migration successfully executed" id="Update org_user table charset" duration=23.171µs
grafana  | logger=migrator t=2026-03-15T12:18:53.889694295Z level=info msg="Executing migration" id="Migrate all Read Only Viewers to Viewers"
grafana  | logger=migrator t=2026-03-15T12:18:53.88980829Z level=info msg="Migration successfully executed" id="Migrate all Read Only Viewers to Viewers" duration=114.968µs
grafana  | logger=migrator t=2026-03-15T12:18:53.895182086Z level=info msg="Executing migration" id="create dashboard table"
grafana  | logger=migrator t=2026-03-15T12:18:53.895592025Z level=info msg="Migration successfully executed" id="create dashboard table" duration=409.481µs
grafana  | logger=migrator t=2026-03-15T12:18:53.900729533Z level=info msg="Executing migration" id="add index dashboard.account_id"
grafana  | logger=migrator t=2026-03-15T12:18:53.901178253Z level=info msg="Migration successfully executed" id="add index dashboard.account_id" duration=448.813µs
grafana  | logger=migrator t=2026-03-15T12:18:53.906430105Z level=info msg="Executing migration" id="add unique index dashboard_account_id_slug"
grafana  | logger=migrator t=2026-03-15T12:18:53.906875915Z level=info msg="Migration successfully executed" id="add unique index dashboard_account_id_slug" duration=446.178µs
grafana  | logger=migrator t=2026-03-15T12:18:53.912158882Z level=info msg="Executing migration" id="create dashboard_tag table"
grafana  | logger=migrator t=2026-03-15T12:18:53.912529935Z level=info msg="Migration successfully executed" id="create dashboard_tag table" duration=370.149µs
grafana  | logger=migrator t=2026-03-15T12:18:53.917750888Z level=info msg="Executing migration" id="add unique index dashboard_tag.dasboard_id_term"
grafana  | logger=migrator t=2026-03-15T12:18:53.918168636Z level=info msg="Migration successfully executed" id="add unique index dashboard_tag.dasboard_id_term" duration=417.699µs
grafana  | logger=migrator t=2026-03-15T12:18:53.923535713Z level=info msg="Executing migration" id="drop index UQE_dashboard_tag_dashboard_id_term - v1"
grafana  | logger=migrator t=2026-03-15T12:18:53.923968453Z level=info msg="Migration successfully executed" id="drop index UQE_dashboard_tag_dashboard_id_term - v1" duration=433.069µs
grafana  | logger=migrator t=2026-03-15T12:18:53.929343215Z level=info msg="Executing migration" id="Rename table dashboard to dashboard_v1 - v1"
grafana  | logger=migrator t=2026-03-15T12:18:53.931152933Z level=info msg="Migration successfully executed" id="Rename table dashboard to dashboard_v1 - v1" duration=1.809265ms
grafana  | logger=migrator t=2026-03-15T12:18:53.936326504Z level=info msg="Executing migration" id="create dashboard v2"
grafana  | logger=migrator t=2026-03-15T12:18:53.936681619Z level=info msg="Migration successfully executed" id="create dashboard v2" duration=358.266µs
grafana  | logger=migrator t=2026-03-15T12:18:53.942139069Z level=info msg="Executing migration" id="create index IDX_dashboard_org_id - v2"
grafana  | logger=migrator t=2026-03-15T12:18:53.942610736Z level=info msg="Migration successfully executed" id="create index IDX_dashboard_org_id - v2" duration=471.668µs
grafana  | logger=migrator t=2026-03-15T12:18:53.947700828Z level=info msg="Executing migration" id="create index UQE_dashboard_org_id_slug - v2"
grafana  | logger=migrator t=2026-03-15T12:18:53.948099366Z level=info msg="Migration successfully executed" id="create index UQE_dashboard_org_id_slug - v2" duration=398.793µs
grafana  | logger=migrator t=2026-03-15T12:18:53.953254154Z level=info msg="Executing migration" id="copy dashboard v1 to v2"
grafana  | logger=migrator t=2026-03-15T12:18:53.953414753Z level=info msg="Migration successfully executed" id="copy dashboard v1 to v2" duration=161.318µs
grafana  | logger=migrator t=2026-03-15T12:18:53.961029555Z level=info msg="Executing migration" id="drop table dashboard_v1"
grafana  | logger=migrator t=2026-03-15T12:18:53.961414067Z level=info msg="Migration successfully executed" id="drop table dashboard_v1" duration=384.036µs
